"!им. ед.","род","род. ед.","дат. ед.","вин. ед.","твор. ед.","предл. ед."
"Урьевич","M","","","","",""
"Урьевна","F","","","","",""
"Усамавич","M","","","","",""
"Усамавна","F","","","","",""
"Усейнович","M","","","","",""
"Усейновна","F","","","","",""
"Усеїнович","M","Усеиновича","Усеиновичу","Усеиновича","Усеиновичем","Усеиновиче"
"Усеїнівна","F","Усеиновны","Усеиновне","Усеиновны","Усеиновной","Усеиновне"
"Усманович","M","Усмановича","Усмановичу","Усмановича","Усмановичем","Усмановиче"
"Усмановна","F","","","","",""
"Устимович","M","Устимовича","Устимовичу","Устимовича","Устимовичем","Устимовиче"
"Устимівна","F","Устимовны","Устимовне","Устимовны","Устимовной","Устимовне"
"Устинович","M","Устиновича","Устиновичу","Устиновича","Устиновичем","Устиновиче"
"Устиновна","F","","","","",""
"Устинівна","F","Устиновны","Устиновне","Устиновны","Устиновной","Устиновне"
"Ушарович","M","Ушаровича","Ушаровичу","Ушаровича","Ушаровичем","Ушаровиче"
"Фаатович","M","Фаатовича","Фаатовичу","Фаатовича","Фаатовичем","Фаатовиче"
"Фаатівна","F","Фаатовны","Фаатовне","Фаатовны","Фаатовной","Фаатовне"
"Фабриционович","M","","","","",""
"Фабриционовна","F","","","","",""
"Фабіянович","M","Фабияновича","Фабияновичу","Фабияновича","Фабияновичем","Фабияновиче"
"Фавасимович","M","Фавасимовича","Фавасимовичу","Фавасимовича","Фавасимовичем","Фавасимовиче"
"Фавівна","F","Фавовны","Фавовне","Фавовны","Фавовной","Фавовне"
"Фагдович","M","","","","",""
"Фагдовна","F","","","","",""
"Фагимівна","F","Фагимовны","Фагимовне","Фагимовны","Фагимовной","Фагимовне"
"Фагімович","M","Фагимовича","Фагимовичу","Фагимовича","Фагимовичем","Фагимовиче"
"Фадизович","M","Фадизовича","Фадизовичу","Фадизовича","Фадизовичем","Фадизовиче"
"Фадьевич","M","","","","",""
"Фадьевна","F","","","","",""
"Фадійович","M","Фадеевича","Фадеевичу","Фадеевича","Фадеевичем","Фадеевиче"
"Фадіївна","F","Фадеевны","Фадеевне","Фадеевны","Фадеевной","Фадеевне"
"Фазилович","M","Фазиловича","Фазиловичу","Фазиловича","Фазиловичем","Фазиловиче"
"Фазиловна","F","","","","",""
"Фазильевич","M","","","","",""
"Фазильевна","F","","","","",""
"Фазилівна","F","Фазиловны","Фазиловне","Фазиловны","Фазиловной","Фазиловне"
"Фаикович","M","","","","",""
"Фаиковна","F","","","","",""
"Файзалійович","M","Файзалиевича","Файзалиевичу","Файзалиевича","Файзалиевичем","Файзалиевиче"
"Фалалійович","M","Фалалеевича","Фалалеевичу","Фалалеевича","Фалалеевичем","Фалалеевиче"
"Фалаліївна","F","Фалалиевны","Фалалиевне","Фалалиевны","Фалалиевной","Фалалиевне"
"Фамильевич","M","","","","",""
"Фамильевна","F","","","","",""
"Фанильович","M","Фанильевича","Фанильевичу","Фанильевича","Фанильевичем","Фанильевиче"
"Фанович","M","Фановича","Фановичу","Фановича","Фановичем","Фановиче"
"Фанілович","M","Фаниловича","Фаниловичу","Фаниловича","Фаниловичем","Фаниловиче"
"Фаніліївна","F","Фанильевны","Фанильевне","Фанильевны","Фанильевной","Фанильевне"
"Фанісович","M","Фанисовича","Фанисовичу","Фанисовича","Фанисовичем","Фанисовиче"
"Фардетдинівна","F","Фаретдиновны","Фаретдиновне","Фаретдиновны","Фаретдиновной","Фаретдиновне"
"Фаридович","M","","","","",""
"Фаридовна","F","","","","",""
"Фаризович","M","","","","",""
"Фаризовна","F","","","","",""
"Фаритович","M","Фаритовича","Фаритовичу","Фаритовича","Фаритовичем","Фаритовиче"
"Фаритовна","F","","","","",""
"Фаритонович","M","Фаритоновича","Фаритоновичу","Фаритоновича","Фаритоновичем","Фаритоновиче"
"Фаритівна","F","Фаритовны","Фаритовне","Фаритовны","Фаритовной","Фаритовне"
"Фарихович","M","Фариховича","Фариховичу","Фариховича","Фариховичем","Фариховиче"
"Фариховна","F","","","","",""
