"!им. ед.","род","род. ед.","дат. ед.","вин. ед.","твор. ед.","предл. ед."
"Калистратовна","F","","","","",""
"Калманович","M","","","","",""
"Калмановна","F","","","","",""
"Калманівна","F","Калмановны","Калмановне","Калмановны","Калмановной","Калмановне"
"Калович","M","","","","",""
"Каловна","F","","","","",""
"Калоевна","F","","","","",""
"Каломович","M","Каломовича","Каломовичу","Каломовича","Каломовичем","Каломовиче"
"Каломовна","F","","","","",""
"Каломівна","F","Каломовны","Каломовне","Каломовны","Каломовной","Каломовне"
"Калійович","M","Калиевича","Калиевичу","Калиевича","Калиевичем","Калиевиче"
"Калімулівна","F","Калимуловны","Калимуловне","Калимуловны","Калимуловной","Калимуловне"
"Калінкович","M","Калинковича","Калинковичу","Калинковича","Калинковичем","Калинковиче"
"Калістратович","M","Калистратовича","Калистратовичу","Калистратовича","Калистратовичем","Калистратовиче"
"Калістратівна","F","Калистратовны","Калистратовне","Калистратовны","Калистратовной","Калистратовне"
"Каліївна","F","Калиевны","Калиевне","Калиевны","Калиевной","Калиевне"
"Камалович","M","Камаловича","Камаловичу","Камаловича","Камаловичем","Камаловиче"
"Камаловна","F","","","","",""
"Камалівна","F","Камалиевны","Камалиевне","Камалиевны","Камалиевной","Камалиевне"
"Камбалатівна","F","Камбалатовны","Камбалатовне","Камбалатовны","Камбалатовной","Камбалатовне"
"Каменович","M","","","","",""
"Каменовна","F","","","","",""
"Камилевич","M","","","","",""
"Камилевна","F","","","","",""
"Камирівна","F","Камировны","Камировне","Камировны","Камировной","Камировне"
"Камович","M","Камовича","Камовичу","Камовича","Камовичем","Камовиче"
"Камовна","F","","","","",""
"Камранович","M","","","","",""
"Камрановна","F","","","","",""
"Камсарович","M","Камсаровича","Камсаровичу","Камсаровича","Камсаровичем","Камсаровиче"
"Камілович","M","Камиловича","Камиловичу","Камиловича","Камиловичем","Камиловиче"
"Камілівна","F","Камиловны","Камиловне","Камиловны","Камиловной","Камиловне"
"Кананович","M","Канановича","Канановичу","Канановича","Канановичем","Канановиче"
"Канович","M","","","","",""
"Кановна","F","","","","",""
"Кантемирович","M","Кантемировича","Кантемировичу","Кантемировича","Кантемировичем","Кантемировиче"
"Капилович","M","","","","",""
"Капиловна","F","","","","",""
"Капітонович","M","Капитоновича","Капитоновичу","Капитоновича","Капитоновичем","Капитоновиче"
"Капітонівна","F","Капитоновны","Капитоновне","Капитоновны","Капитоновной","Капитоновне"
"Кара Огли","M","Кара Оглы","Кара Оглы","Кара Оглы","Кара Оглы","Кара Оглы"
"Каралійович","M","Каралиевича","Каралиевичу","Каралиевича","Каралиевичем","Каралиевиче"
"Караматович","M","Караматовича","Караматовичу","Караматовича","Караматовичем","Караматовиче"
"Караматовна","F","","","","",""
"Караматівна","F","Караматовны","Караматовне","Караматовны","Караматовной","Караматовне"
"Карапетович","M","Карапетовича","Карапетовичу","Карапетовича","Карапетовичем","Карапетовиче"
"Карапетовна","F","","","","",""
"Карапетівна","F","Карапетовны","Карапетовне","Карапетовны","Карапетовной","Карапетовне"
"Караталіївна","F","Караталиевны","Караталиевне","Караталиевны","Караталиевной","Караталиевне"
"Каратаївна","F","Каратаевны","Каратаевне","Каратаевны","Каратаевной","Каратаевне"
"Карелович","M","Кареловича","Кареловичу","Кареловича","Кареловичем","Кареловиче"
"Кареловна","F","","","","",""
"Каренович","M","Кареновича","Кареновичу","Кареновича","Кареновичем","Кареновиче"
"Кареновна","F","","","","",""
"Каренівна","F","Кареновны","Кареновне","Кареновны","Кареновной","Кареновне"
"Каримбердиевич","M","","","","",""
"Каримбердиевна","F","","","","",""
"Каримович","M","","","","",""
"Каримовна","F","","","","",""
"Карисович","M","Карисовича","Карисовичу","Карисовича","Карисовичем","Карисовиче"
"Карленович","M","Карленовича","Карленовичу","Карленовича","Карленовичем","Карленовиче"
"Карленовна","F","","","","",""
"Карленівна","F","Карленовны","Карленовне","Карленовны","Карленовной","Карленовне"
"Карлович","M","Карловича","Карловичу","Карловича","Карловичем","Карловиче"
"Карловна","F","","","","",""
"Карлосович","M","Карлосовича","Карлосовичу","Карлосовича","Карлосовичем","Карлосовиче"
"Карлосівна","F","Карлосовны","Карлосовне","Карлосовны","Карлосовной","Карлосовне"
"Карлівна","F","Карловны","Карловне","Карловны","Карловной","Карловне"
"Кармінович","M","Карминовича","Карминовичу","Карминовича","Карминовичем","Карминовиче"
"Каролевич","M","","","","",""
"Каролевна","F","","","","",""
"Каролович","M","Каролевича","Каролевичу","Каролевича","Каролевичем","Каролевиче"
"Кароловна","F","","","","",""
"Карольович","M","Каролиевича","Каролиевичу","Каролиевича","Каролиевичем","Каролиевиче"
"Каролівна","F","Каролевны","Каролевне","Каролевны","Каролевной","Каролевне"
"Кароєвич","M","Кароевича","Кароевичу","Кароевича","Кароевичем","Кароевиче"
"Карпатівна","F","Карпатовны","Карпатовне","Карпатовны","Карпатовной","Карпатовне"
"Карпович","M","Карповича","Карповичу","Карповича","Карповичем","Карповиче"
"Карповна","F","","","","",""
"Карпівна","F","Карповны","Карповне","Карповны","Карповной","Карповне"
"Карупович","M","Каруповича","Каруповичу","Каруповича","Каруповичем","Каруповиче"
"Карімбердійович","M","Каримбердиевича","Каримбердиевичу","Каримбердиевича","Каримбердиевичем","Каримбердиевиче"
"Карімджанівна","F","Каримджановны","Каримджановне","Каримджановну","Каримджановной","Каримджановне"
"Карімович","M","Каримовича","Каримовичу","Каримовича","Каримовичем","Каримовиче"
"Карімівна","F","Каримовны","Каримовне","Каримовны","Каримовной","Каримовне"
"Касанович","M","Касановича","Касановичу","Касановича","Касановичем","Касановиче"
"Касанівна","F","Касановны","Касановне","Касановны","Касановной","Касановне"
"Касидівна","F","Касидовны","Касидовне","Касидовны","Касидовной","Касидовне"
"Касимович","M","Касымовича","Касымовичу","Касымовича","Касымовичем","Касымовиче"
"Касимовна","F","","","","",""
"Касимівна","F","Касымовны","Касымовне","Касымовны","Касымовной","Касымовне"
"Касиянович","M","","","","",""
"Касияновна","F","","","","",""
"Касьянович","M","Касьяновича","Касьяновичу","Касьяновича","Касьяновичем","Касьяновиче"
"Касьянівна","F","Касьяновны","Касьяновне","Касьяновны","Касьяновной","Касьяновне"
"Касіонівна","F","Касионовны","Касионовне","Касионовны","Касионовной","Касионовне"
"Каталинович","M","","","","",""
"Каталиновна","F","","","","",""
"Кахаберович","M","","","","",""
"Кахаберовна","F","","","","",""
"Кахович","M","","","","",""
"Каховна","F","","","","",""
"Кацуюкиевич","M","","","","",""
"Кацуюкиевна","F","","","","",""
"Кашифович","M","Кашифовича","Кашифовичу","Кашифовича","Кашифовичем","Кашифовиче"
"Кашракулович","M","Кашракуловича","Кашракуловичу","Кашракуловича","Кашракуловичем","Кашракуловиче"
"Каюмович","M","Каюмовича","Каюмовичу","Каюмовича","Каюмовичем","Каюмовиче"
"Каюмовна","F","","","","",""
"Каюмівна","F","Каюмовны","Каюмовне","Каюмовны","Каюмовной","Каюмовне"
"Каямльевич","M","","","","",""
"Каямльевна","F","","","","",""
"Каісерівна","F","Каисеровны","Каисеровне","Каисеровны","Каисеровной","Каисеровне"
"Квентинович","M","Квентиновича","Квентиновичу","Квентиновича","Квентиновичем","Квентиновиче"
"Квентинівна","F","Квентиновны","Квентиновне","Квентиновны","Квентиновной","Квентиновне"
"Кевинович","M","","","","",""
"Кевиновна","F","","","","",""
"Кельсеївна","F","Кельсеевны","Кельсеевне","Кельсеевны","Кельсеевной","Кельсеевне"
"Келімбердійович","M","Келимбердиевича","Келимбердиевичу","Келимбердиевича","Келимбердиевичем","Келимбердиевиче"
"Кемалович","M","","","","",""
"Кемаловна","F","","","","",""
"Кемальевич","M","","","","",""
"Кемальевна","F","","","","",""
"Кемальович","M","Кемалевича","Кемалевичу","Кемалевича","Кемалевичем","Кемалевиче"
"Кенжебекович","M","","","","",""
"Кенжебековна","F","","","","",""
"Кеннедиевич","M","","","","",""
"Кеннедиевна","F","","","","",""
"Керимович","M","Керимовича","Керимовичу","Керимовича","Керимовичем","Керимовиче"
"Керимовна","F","","","","",""
"Керимівна","F","Керимовны","Керимовне","Керимовны","Керимовной","Керимовне"
"Керобович","M","","","","",""
"Керобовна","F","","","","",""
"Кесарівна","F","Кесаревны","Кесаревне","Кесаревну","Кесаревной","Кесаревне"
"Кешафович","M","Кешафовича","Кешафовичу","Кешафовича","Кешафовичем","Кешафовиче"
"Кимович","M","","","","",""
"Кимовна","F","","","","",""
"Киникович","M","Киниковича","Киниковичу","Киниковича","Киниковичем","Киниковиче"
"Кипгенович","M","","","","",""
"Кипгеновна","F","","","","",""
"Кириевич","M","","","","",""
"Кириевна","F","","","","",""
"Кириллович","M","","","","",""
"Кирилловна","F","","","","",""
"Кирилович","M","Кирилловича","Кирилловичу","Кирилловича","Кирилловичем","Кирилловиче"
"Кирилівна","F","Кирилловны","Кирилловне","Кирилловны","Кирилловной","Кирилловне"
"Кирим Арле","M","Кирим Арле","Кирим Арле","Кирим Арле","Кирим Арле","Кирим Арле"
"Клавдиевич","M","","","","",""
"Клавдиевна","F","","","","",""
"Клавдійович","M","Клавдиевича","Клавдиевичу","Клавдиевича","Клавдиевичем","Клавдиевиче"
"Клавдіївна","F","Клавдиевны","Клавдиевне","Клавдиевны","Клавдиевной","Клавдиевне"
"Кларійович","M","Клариевича","Клариевичу","Клариевича","Клариевичем","Клариевиче"
"Клаусович","M","","","","",""
"Клаусовна","F","","","","",""
"Клементійович","M","Клементиевича","Клементиевичу","Клементиевича","Клементиевичем","Клементиевиче"
"Клеофасович","M","Клеофасовича","Клеофасовичу","Клеофасовича","Клеофасовичем","Клеофасовиче"
"Климентович","M","Климентьевича","Климентьевичу","Климентьевича","Климентьевичем","Климентьевиче"
"Климентьвна","F","","","","",""
"Климентьевич","M","","","","",""
"Климентівна","F","Климентьевны","Климентьевне","Климентьевны","Климентьевной","Климентьевне"
"Климентійович","M","Климентиевича","Климентиевичу","Климентиевича","Климентиевичем","Климентиевиче"
"Климович","M","Климовича","Климовичу","Климовича","Климовичем","Климовиче"
"Климовна","F","","","","",""
"Климівна","F","Климовны","Климовне","Климовны","Климовной","Климовне"
"Книмонівна","F","Книмоновны","Книмоновне","Книмоновны","Книмоновной","Книмоновне"
"Князевич","M","Князевича","Князевичу","Князевича","Князевичем","Князевиче"
"Князевна","F","","","","",""
"Козакбайович","M","Козакбаевича","Козакбаевичу","Козакбаевича","Козакбаевичем","Козакбаевиче"
"Козимирівна","F","Козимировны","Козимировне","Козимировны","Козимировной","Козимировне"
"Комунарович","M","Комунаровича","Комунаровичу","Комунаровича","Комунаровичем","Комунаровиче"
"Комінтернович","M","Коминтерновича","Коминтерновичу","Коминтерновича","Коминтерновичем","Коминтерновиче"
"Кондратьевич","M","","","","",""
"Кондратьевна","F","","","","",""
"Конкенович","M","","","","",""
"Конкеновна","F","","","","",""
"Конович","M","Коновича","Коновичу","Коновича","Коновичем","Коновиче"
"Кононович","M","Кононовича","Кононовичу","Кононовича","Кононовичем","Кононовиче"
"Кононівна","F","Кононовны","Кононовне","Кононовны","Кононовной","Кононовне"
"Конрадович","M","","","","",""
"Конрадовна","F","","","","",""
"Константинович","M","","","","",""
"Константиновна","F","","","","",""
"Корнеевич","M","","","","",""
"Корнеевна","F","","","","",""
"Корнелиусович","M","","","","",""
"Корнелиусовна","F","","","","",""
"Корнельвна","F","","","","",""
"Корнельевич","M","","","","",""
"Корнелійович","M","Корнелиевича","Корнелиевичу","Корнелиевича","Корнелиевичем","Корнелиевиче"
"Корнелісович","M","Корнелисовича","Корнелисовичу","Корнелисовича","Корнелисовичем","Корнелисовиче"
"Корнеліхівна","F","Корнелиховны","Корнелиховне","Корнелиховну","Корнелиховной","Корнелиховне"
"Корнеліївна","F","Корнелиевны","Корнелиевне","Корнелиевны","Корнелиевной","Корнелиевне"
"Корнилович","M","Корниловича","Корниловичу","Корниловича","Корниловичем","Корниловиче"
"Корнилівна","F","Корниловны","Корниловне","Корниловны","Корниловной","Корниловне"
"Корнійович","M","Корнеевича","Корнеевичу","Корнеевича","Корнеевичем","Корнеевиче"
"Корніївна","F","Корнеевны","Корнеевне","Корнеевны","Корнеевной","Корнеевне"
"Корольович","M","Корольовича","Корольовичу","Корольовича","Корольовичем","Корольовиче"
"Королівна","F","Королиевны","Королиевне","Королиевны","Королиевной","Королиевне"
"Коррадівна","F","Коррадовны","Коррадовне","Коррадовны","Коррадовной","Коррадовне"
"Косаїмівна","F","Косаимовны","Косаимовне","Косаимовны","Косаимовной","Косаимовне"
"Косинович","M","Косыновича","Косыновичу","Косыновича","Косыновичем","Косыновиче"
"Косманович","M","Космановича","Космановича","Космановичы","Космановичем","Космановиче"
"Костасович","M","Костасовича","Костасовичу","Костасовича","Костасовичем","Костасовиче"
"Костянтинович","M","Константиновича","Константиновичу","Константиновича","Константиновичем","Константиновиче"
"Костянтинівна","F","Константиновны","Константиновне","Константиновны","Константиновной","Константиновне"
"Костівна","F","Костевны","Костевне","Костевны","Костевной","Костевне"
"Котдосівна","F","Котдосовны","Котдосовне","Котдосовны","Котдосовной","Котдосовнае"
"Краснославович","M","Краснославовича","Краснославовичу","Краснославовича","Краснославовичем","Краснославовиче"
"Краснославовна","F","","","","",""
"Кресанович","M","Кресановича","Кресановичу","Кресановича","Кресановичем","Кресановиче"
"Криевич","M","","","","",""
"Криевна","F","","","","",""
"Кримханович","M","Крымхановича","Крымхановичу","Крымхановича","Крымхановичем","Крымхановиче"
"Крисантіївна","F","Крисантиевны","Крисантиевне","Крисантиевны","Крисантиевной","Крисантиевне"
"Кристианович","M","","","","",""
"Кристиановна","F","","","","",""
"Кристоферович","M","","","","",""
"Кристоферовна","F","","","","",""
"Кронідович","M","Кронидовича","Кронидовичу","Кронидовича","Кронидовичем","Кронидовиче"
"Крізойтович","M","Кризойтовича","Кризойтовичу","Кризойтовича","Кризойтовичем","Кризойтовиче"
"Крістіанович","M","Кристиановича","Кристиановичу","Кристиановича","Кристиановичем","Кристиановиче"
"Крістіанівна","F","Кристиановны","Кристиановне","Кристиановны","Кристиановной","Кристиановне"
"Ксенофонтович","M","Ксенофонтовича","Ксенофонтовичу","Ксенофонтовича","Ксенофонтовичем","Ксенофонтовиче"
"Ксенофонтьвна","F","","","","",""
"Ксенофонтьевич","M","","","","",""
"Ксенофонтівна","F","Ксенофонтовны","Ксенофонтовне","Ксенофонтовны","Ксенофонтовной","Ксенофонтовне"
"Кудайбердійович","M","Кудайбердиевича","Кудайбердиевичу","Кудайбердиевича","Кудайбердиевичем","Кудайбердиевиче"
"Кудзійович","M","Кудзиевича","Кудзиевичу","Кудзиевича","Кудзиевичем","Кудзиевиче"
"Кудимович","M","","","","",""
"Кудимовна","F","","","","",""
"Кудусович","M","Кудусовича","Кудусовичу","Кудусовича","Кудусовичем","Кудусовиче"
"Кузьмич","M","Кузьмича","Кузьмичу","Кузьмича","Кузьмичем","Кузьмиче"
"Кузьмович","M","","","","",""
"Кузьмовна","F","","","","",""
"Кузьмівна","F","Кузьминичны","Кузьминичне","Кузьминичны","Кузьминичной","Кузьминичне"
"Куліївна","F","Кулиевны","Кулиевне","Кулиевны","Кулиевной","Кулиевне"
"Кумарович","M","Кумаровича","Кумаровичу","Кумаровича","Кумаровичем","Кумаровиче"
"Кумаровна","F","","","","",""
"Куприянович","M","","","","",""
"Куприяновна","F","","","","",""
"Купріянович","M","Куприяновича","Куприяновичу","Куприяновича","Куприяновичем","Куприяновиче"
"Купріянівна","F","Куприяновны","Куприяновне","Куприяновны","Куприяновной","Куприяновне"
"Кураївна","F","Кураевны","Кураевне","Кураевны","Кураевной","Кураевне"
"Курбан-Огли","M","Курбан-Оглы","Курбан-Оглы","Курбан-Оглы","Курбан-Оглы","Курбан-Оглы"
"Курбанадамович","M","","","","",""
"Курбанадамовна","F","","","","",""
"Курбанович","M","","","","",""
"Курбановна","F","","","","",""
"Курбанівна","F","Курбановны","Курбановне","Курбановны","Курбановной","Курбановне"
"Курбатович","M","Курбатовича","Курбатовичу","Курбатовича","Курбатовичем","Курбатовиче"
"Курбашович","M","","","","",""
"Курбашовна","F","","","","",""
"Курбоналиевич","M","","","","",""
"Курбоналиевна","F","","","","",""
"Куртемирович","M","Куртемировича","Куртемировичу","Куртемирович","Куртемировичема","Куртемировиче"
"Куртович","M","","","","",""
"Куртовна","F","","","","",""
"Куртосанович","M","Куртосановича","Куртосановичу","Куртосановича","Куртосановичем","Куртосановиче"
"Куртумерович","M","Куртумеровича","Куртумеровичу","Куртумеровича","Куртумеровичем","Куртумеровиче"
"Кутусович","M","Кутусовича","Кутусовичу","Кутусовича","Кутусовичем","Кутусовиче"
"Кшиштофович","M","","","","",""
"Кшиштофовна","F","","","","",""
"Кязимович","M","Кязимовича","Кязимовичу","Кязимовича","Кязимовичем","Кязимовиче"
"Кялашович","M","Кялашевича","Кялашевичу","Кялашевича","Кялашевичем","Кялашевиче"
"Кялашовна","F","","","","",""
"Кялашівна","F","Кялашовны","Кялашовне","Кялашовны","Кялашовной","Кялашовне"
"Кяшафович","M","Кяшафовича","Кяшафовичу","Кяшафовича","Кяшафовичем","Кяшафовиче"
"Кяшафовна","F","","","","",""
"Кяшафівна","F","Кяшафовны","Кяшафовне","Кяшафовны","Кяшафовной","Кяшафовне"
"Ківовна","F","Кивовны","Кивовне","Кивовны","Кивовной","Кивовне"
"Кімович","M","Кимовича","Кимовичу","Кимовича","Кимовичем","Кимовиче"
"Кімівна","F","Кимовны","Кимовне","Кимовны","Кимовной","Кимовне"
"Кіндратович","M","Кондратьевича","Кондратьевичу","Кондратьевича","Кондратьевичем","Кондратьевиче"
"Кіндратівна","F","Кондратьевны","Кондратьевне","Кондратьевны","Кондратьевной","Кондратьевне"
"Кірʼянович","M","Кирьяновича","Кирьяновичу","Кирьяновича","Кирьяновичем","Кирьяновиче"
"Кірійович","M","Кириевича","Кириевичу","Кириевича","Кириевичем","Кириевиче"
"Кіріївна","F","Кириевны","Кириевне","Кириевны","Кириевной","Кириевне"
"Кіямітдинович","M","Киямитдиновича","Киямитдиновичу","Киямитдиновича","Киямитдиновичем","Киямитдиновиче"
"Лаврентьвна","F","","","","",""
"Лаврентьевич","M","","","","",""
"Лаврентійович","M","Лаврентьевича","Лаврентьевичу","Лаврентьевича","Лаврентьевичем","Лаврентьевиче"
"Лаврентіївна","F","Лаврентиевны","Лаврентиевне","Лаврентиевны","Лаврентиевной","Лаврентиевне"
"Лаврович","M","Лавровича","Лавровичу","Лавровича","Лавровичем","Лавровиче"
"Лавронович","M","Лавроновича","Лавроновичу","Лавроновича","Лавроновичем","Лавроновиче"
"Лаврівна","F","","","","",""
"Ладикович","M","Ладиковича","Ладиковичу","Ладиковича","Ладиковичем","Ладиковиче"
"Ладиківна","F","Ладиковны","Ладиковне","Ладиковны","Ладиковной","Ладиковне"
"Ладиславович","M","Ладиславовича","Ладиславовичу","Ладиславовича","Ладиславовичем","Ладиславовиче"
"Ладиславовна","F","","","","",""
"Ладиславівна","F","Ладиславовну","Ладиславовне","Ладиславовны","Ладиславовной","Ладиславовне"
"Ладович","M","","","","",""
"Ладовна","F","","","","",""
"Ладойович","M","Ладоевича","Ладоевичу","Ладоевича","Ладоевичем","Ладоевиче"
"Ладоївна","F","Ладоевны","Ладоевне","Ладоевны","Ладоевной","Ладоевне"
"Ладівна","F","Ладовны","Ладовне","Ладовны","Ладовной","Ладовне"
"Лазаревич","M","","","","",""
"Лазаревна","F","","","","",""
"Лазарович","M","Лазаревича","Лазаревичу","Лазаревича","Лазаревичем","Лазаревиче"
"Лазарівна","F","Лазаровны","Лазаровне","Лазаровны","Лазаровной","Лазаровне"
"Лайвашевич","M","","","","",""
"Лайвашевна","F","","","","",""
"Лаймонтасович","M","Лаймонтасовича","Лаймонтасовичу","Лаймонтасовича","Лаймонтасовичем","Лаймонтасовиче"
"Лайошівна","F","Лайошевны","Лайошевне","Лайошевны","Лайошевной","Лайошевне"
"Ламбертівна","F","Ламбертовны","Ламбертовне","Ламбертовны","Ламбертовной","Ламбертовне"
"Лампракисович","M","","","","",""
"Лампракисовна","F","","","","",""
"Лариманович","M","","","","",""
"Ларимановна","F","","","","",""
"Ларисович","M","Ларисовича","Ларисовичу","Ларисовича","Ларисовичем","Ларисовиче"
"Ларікович","M","Лариковича","Лариковичу","Лариковича","Лариковичем","Лариковиче"
"Ларіонович","M","Ларионовича","Ларионовичу","Ларионовича","Ларионовичем","Ларионовиче"
"Ларіонівна","F","Ларионовны","Ларионовне","Ларионовны","Ларионовной","Ларионовне"
"Ларіївна","F","Лариевны","Лариевне","Лариевны","Лариевной","Лариевне"
"Ласлович","M","Ласловича","Ласловичу","Ласловича","Ласловичем","Ласловиче"
"Ласловна","F","","","","",""
"Ласлівна","F","Ласловны","Ласловне","Ласловны","Ласловной","Ласловне"
"Ластиславович","M","","","","",""
"Ластиславовна","F","","","","",""
"Латифович","M","Латифовича","Латифовичу","Латифовича","Латифовичем","Латифовиче"
"Лачинович","M","Лачиновича","Лачиновичу","Лачиновича","Лачиновичем","Лачиновиче"
"Лачиновна","F","","","","",""
"Лачинівна","F","Лачиновны","Лачиновне","Лачиновны","Лачиновной","Лачиновне"
"Леванович","M","Левановича","Левановичу","Левановича","Левановичем","Левановиче"
"Левановна","F","","","","",""
"Леванівна","F","Левановны","Левановне","Левановны","Левановной","Левановне"
"Левкович","M","Левковича","Левковичу","Левковича","Левковичем","Левковиче"
"Левковна","F","","","","",""
"Левківна","F","Левковны","Левковне","Левковны","Левковной","Левковне"
"Левонович","M","Левоновича","Левоновичу","Левоновича","Левоновичем","Левоновиче"
"Левоновна","F","","","","",""
"Левонівна","F","Левоновны","Левоновне","Левоновны","Левоновной","Левоновне"
"Левтериевич","M","","","","",""
"Левтериевна","F","","","","",""
"Лейнартівна","F","Лейнартовны","Лейнартовне","Лейнартовны","Лейнартовной","Лейнартовне"
"Леліївна","F","Лелиевны","Лелиевне","Лелиевны","Лелиевной","Лелиевне"
"Лембитівна","F","Лембитовны","Лембитовне","Лембитовны","Лембитовной","Лембитовне"
"Ленгінович","M","Ленгиновича","Ленгиновичу","Ленгиновича","Ленгиновичем","Ленгиновиче"
"Ленгінівна","F","Ленгиновны","Ленгиновне","Ленгиновны","Ленгиновной","Ленгиновне"
"Лендрушович","M","Лендрушевича","Лендрушевичу","Лендрушевича","Лендрушевичем","Лендрушевиче"
"Лензерович","M","","","","",""
"Лензеровна","F","","","","",""
"Лензійович","M","Лензиевича","Лензиевичу","Лензиевича","Лензиевичем","Лензиевиче"
"Ленмарович","M","","","","",""
"Ленмаровна","F","","","","",""
"Ленурович","M","Ленуровича","Ленуровичу","Ленуровича","Ленуровичем","Ленуровиче"
"Ленуровна","F","","","","",""
"Ленурівна","F","Ленуровны","Ленуровне","Ленуровны","Ленуровной","Ленуровне"
"Ленхартович","M","","","","",""
"Ленхартовна","F","","","","",""
"Леніанівна","F","Лениановны","Лениановне","Лениановны","Лениановной","Лениановне"
"Леович","M","","","","",""
"Леовна","F","","","","",""
"Леодорович","M","Леодоровича","Леодоровичу","Леодоровича","Леодоровичем","Леодоровиче"
"Леодоровна","F","","","","",""
"Леокадійович","M","Леокадиевича","Леокадиевичу","Леокадиевича","Леокадиевичем","Леокадиевиче"
"Леонардович","M","Леонардовича","Леонардовичу","Леонардовича","Леонардовичем","Леонардовиче"
"Леонардовна","F","","","","",""
"Леонардівна","F","Леонардовны","Леонардовне","Леонардовны","Леонардовной","Леонардовне"
"Леонидович","M","","","","",""
"Леонидовна","F","","","","",""
"Леонович","M","Леоновича","Леоновичу","Леоновича","Леоновичем","Леоновиче"
"Леоновна","F","","","","",""
"Леонтьевич","M","","","","",""
"Леонтьевна","F","","","","",""
"Леонтійович","M","Леонтьевича","Леонтьевичу","Леонтьевича","Леонтьевичем","Леонтьевиче"
"Леонтіївна","F","Леонтьевны","Леонтьевне","Леонтьевны","Леонтьевной","Леонтьевне"
"Леонівна","F","Леоновны","Леоновне","Леоновны","Леоновной","Леоновне"
"Леонідович","M","Леонидовича","Леонидовичу","Леонидовича","Леонидовичем","Леонидовиче"
"Леонідівна","F","Леонидовны","Леонидовне","Леонидовны","Леонидовной","Леонидовне"
"Леопольдович","M","Леопольдовича","Леопольдовичу","Леопольдовича","Леопольдовичем","Леопольдовиче"
"Леопольдовна","F","","","","",""
"Леопольдівна","F","Леопольдовны","Леопольдовне","Леопольдовны","Леопольдовной","Леопольдовне"
"Леосифович","M","Леосифовича","Леосифовичу","Леосифовича","Леосифовичем","Леосифовиче"
"Леранівна","F","Лерановны","Лерановне","Лерановны","Лерановной","Лерановне"
"Леславівна","F","Леславовны","Леславовне","Леславовны","Леславовной","Леславовне"
"Леслівна","F","Лесловны","Лесловне","Лесловны","Лесловной","Лесловне"
"Лесьович","M","Лесьевича","Лесьевичу","Лесьевича","Лесьевичем","Лесьевиче"
"Лефтерійович","M","Лефтериевича","Лефтериевичу","Лефтериевича","Лефтериевичем","Лефтериевиче"
"Ливицович","M","","","","",""
"Ливицовна","F","","","","",""
"Ликандрович","M","","","","",""
"Ликандровна","F","","","","",""
"Лилиянович","M","","","","",""
"Лилияновна","F","","","","",""
"Линарович","M","","","","",""
"Линаровна","F","","","","",""
"Линаріївна","F","Линариевны","Линариевне","Линариевны","Линариевной","Линариевне"
"Липаритович","M","Липаритовича","Липаритовичу","Липаритовича","Липаритовичем","Липаритовиче"
"Логвинович","M","Логвиновича","Логвиновичу","Логвиновича","Логвиновичем","Логвиновиче"
"Логвиновна","F","","","","",""
"Логвинівна","F","Логвиновны","Логвиновне","Логвиновны","Логвиновной","Логвиновне"
"Логинович","M","Логиновича","Логиновичу","Логиновича","Логиновичем","Логиновиче"
"Логушович","M","","","","",""
"Логушовна","F","","","","",""
"Лонгинович","M","Лонгиновича","Лонгиновичу","Лонгиновича","Лонгиновичем","Лонгиновиче"
"Лондинович","M","Лондиновича","Лондиновичу","Лондиновича","Лондиновичем","Лондиновиче"
"Лоранович","M","","","","",""
"Лорановна","F","","","","",""
"Лоранівна","F","Лорановны","Лорановне","Лорановны","Лорановной","Лорановна"
"Лоренцович","M","","","","",""
"Лоренцовна","F","","","","",""
"Лоресович","M","Лоресовича","Лоресовичу","Лоресовича","Лоресовичем","Лоресовиче"
"Луарсабівна","F","Луарсабовны","Луарсабовне","Луарсабовны","Луарсабовной","Луарсабовне"
"Луисович","M","","","","",""
"Луисовна","F","","","","",""
"Лукʼянович","M","Лукьяновича","Лукьяновичу","Лукьяновича","Лукьяновичем","Лукьяновиче"
"Лукʼянівна","F","Лукьяновны","Лукьяновне","Лукьяновны","Лукьяновной","Лукьяновне"
"Лукашевич","M","","","","",""
"Лукашевна","F","","","","",""
"Лукашович","M","Лукашевича","Лукашевичу","Лукашевича","Лукашевичем","Лукашевиче"
"Лукашівна","F","Лукашевны","Лукашевне","Лукашевны","Лукашевной","Лукашевне"
"Лукич","M","Лукича","Лукичу","Лукича","Лукичем","Лукиче"
"Лукович","M","","","","",""
"Луковна","F","","","","",""
"Лукриевич","M","","","","",""
"Лукриевна","F","","","","",""
"Лукьянович","M","","","","",""
"Лукьяновна","F","","","","",""
"Луківна","F","Лукиничны","Лукиничне","Лукиничны","Лукиничной","Лукиничне"
"Лутриевич","M","","","","",""
"Лутриевна","F","","","","",""
"Лутфиевич","M","","","","",""
"Лутфиевна","F","","","","",""
"Лутфоєвич","M","Лутфоевича","Лутфоевичу","Лутфоевича","Лутфоевичем","Лутфоевиче"
"Лутфулович","M","Лутфуловича","Лутфуловичу","Лутфуловича","Лутфуловичем","Лутфуловиче"
"Лутфулівна","F","Лутфуловны","Лутфуловне","Лутфуловны","Лутфуловной","Лутфуловне"
"Лутцевич","M","","","","",""
"Лутцевна","F","","","","",""
