"!наз. од.","рід","клич.","род. одн.","дав. одн.","знах. одн.","оруд. одн.","місц. одн."
"Анабі","M","Анабіє","Анабія","Анабію","Анабія","Анабієм","Анабійові"
"Анакулій","M","","","","","",""
"Аналій","M","Аналіє","Аналія","Аналію","Аналія","Аналієм","Аналійові"
"Ананій","M","Ананію","Ананія","Ананію","Ананія","Ананієм","Ананії"
"Анар","M","Анаре","Анара","Анару","Анара","Анаром","Анарі"
"Анас","M","","","","","",""
"Анастас","M","","","","","",""
"Анастасій","M","Анастасію","Анастасія","Анастасію","Анастасія","Анастасієм","Анастасії"
"Анастасія","F","Анастасіє","Анастасії","Анастасії","Анастасії","Анастасією","Анастасії"
"Анат","M","Анате","Аната","Анату","Аната","Анатом","Анатові"
"Анатоль","M","Анатолю","Анатоля","Анатолю","Анатоля","Анатолем","Анатолеві"
"Анатолій","M","Анатолію","Анатолія","Анатолію","Анатолія","Анатолієм","Анатолії"
"Анатолія","F","Анатоліє","Анатолії","Анатолії","Анатолії","Анатолією","Анатолії"
"Анафій","M","","","","","",""
"Анаїд","M","Анаїде","Анаїда","Анаїду","Анаїда","Анаїдом","Анаїді"
"Анаїда","F","Анаїдо","Анаїди","Анаїді","Анаїди","Анаїдою","Анаїді"
"Анбат","M","Анбате","Анбата","Анбату","Анбата","Анбатом","Анбатові"
"Анвар","M","Анваре","Анвара","Анвару","Анвара","Анваром","Анварі"
"Анваруззаман","M","Анваруззамане","Анваруззамана","Анваруззаману","Анваруззамана","Анваруззаманом","Анваруззаманові"
"Анвер","M","Анвере","Анвера","Анверу","Анвера","Анвером","Анверові"
"Ангел","M","Ангеле","Ангела","Ангелу","Ангела","Ангелом","Ангелові"
"Ангела","F","Ангело","Ангели","Ангелі","Ангели","Ангелою","Ангелі"
"Ангеліна","F","Ангеліно","Ангеліни","Ангеліні","Ангеліни","Ангеліною","Ангеліні"
"Ангелія","F","Ангеліє","Ангелії","Ангелії","Ангелії","Ангелією","Ангелії"
"Ангін","F","Ангіне","Ангіни","Ангіні","Ангіни","Ангіною","Ангіні"
"Андержан","M","","","","","",""
"Анджей","M","Анджею","Анджея","Анджею","Анджея","Анджеєм","Анджеєві"
"Анджело","M","Анджело","Анджело","Анджело","Анджело","Анджело","Анджело"
"Андраник","M","Андранику","Андраника","Андранику","Андраника","Андраником","Андраникові"
"Андранік","M","","","","","",""
"Андрашко","M","","","","","",""
"Андреас","M","Андреасе","Андреаса","Андреасу","Андреаса","Андреасом","Андреасові"
"Андрес","M","Андресе","Андреса","Андресу","Андреса","Андресом","Андресові"
"Андрон","M","Андроне","Андрона","Андрону","Андрона","Андроном","Андроні"
"Андроник","M","Андронику","Андроника","Андронику","Андроника","Андроником","Андронику"
"Андріан","M","Адріане","Андріана","Андріану","Андріана","Андріаном","Андріанові"
"Андріана","F","Андріано","Андріани","Андріані","Андріани","Андріаною","Андріані"
"Андрій","M","Андрію","Андрія","Андрію","Андрія","Андрієм","Андрії"
"Андріян","M","","","","","",""
"Андін","M","Андіне","Андіна","Андіну","Андіна","Андіном","Андінові"
"Анелія","F","Анеліє","Анелії","Анелії","Анелії","Анелією","Анелії"
"Анеон","M","","","","","",""
"Анетта","F","Анетто","Анетти","Анетті","Анетти","Анеттою","Анетті"
"Анжел","M","","","","","",""
"Анжела","F","Анжело","Анжели","Анжелі","Анжели","Анжелою","Анжелі"
"Анжеліка","F","Анжеліко","Анжеліки","Анжеліці","Анжеліки","Анжелікою","Анжеліці"
"Анжеліна","F","Анжеліно","Анжеліни","Анжеліні","Анжеліни","Анжеліною","Анжеліні"
"Анзор","M","Анзоре","Анзора","Анзору","Анзора","Анзором","Анзорові"
"Аникій","M","","","","","",""
"Анис","M","","","","","",""
"Анна","F","Анно","Анни","Анні","Анни","Анною","Анні"
